ticket_id,created_at,customer_id,department,city_x,state_x,device_type,os,browser,network_type,historical_tickets,sla_hours,resolution_time_hours,title,description,image_path,image_width,image_height,priority,status,assigned_team,has_attachment,sentiment_score,num_words,num_images_x,latitude,longitude,company,segment,employees,city_y,state_y,contract_type,customer_since,vip,monthly_revenue,num_events,last_event_date,event_types,num_abertura,num_updates,num_encerramento,num_images_y,target_category
11,2025-01-01T03:07:00,8956,RH,Campinas,PR,Desktop,Linux,Safari,WiFi,24,12,59,O sistema Email exibe desliga ao executar consulta.,O sistema Email exibe desliga ao executar consulta.,images/email.png,500,333,Crítica,Fechado,Aplicações,0,-0.62,3,1,-23.241068,-47.366115,,,,,,,,,,0,,,0,0,0,,Software
12,2025-01-01T03:24:00,1936,TI,Belo Horizonte,PR,Mobile,Linux,Chrome,WiFi,11,4,9,Erro no sistema de RH: superaquece ao enviar email.,Erro no sistema de RH: superaquece ao enviar email.,images/email.png,500,333,Alta,Aberto,N2,0,0.239,7,3,-26.634633,-47.504253,,,,,,,,,,0,,,0,0,0,,RH
13,2025-01-01T03:41:00,6147,Operações,Santos,PR,Desktop,Android,Safari,4G,4,4,59,Falha de rede: perda de dados ao tentar exportar dados.,Falha de rede: perda de dados ao tentar exportar dados.,images/network.png,500,342,Média,Fechado,N2,1,-0.735,6,2,-24.198581,-44.395225,,,,,,,,,,0,,,0,0,0,,Rede
14,2025-01-01T03:58:00,8179,Financeiro,Belo Horizonte,BA,Mobile,Windows,Edge,WiFi,8,12,15,Falha de rede: sem resposta ao tentar enviar email.,Falha de rede: sem resposta ao tentar enviar email.,images/email.png,500,333,Média,Em andamento,Infra,0,0.435,6,1,-26.306281,-44.656163,,,,,,,,,,0,,,0,0,0,,Rede
15,2025-01-01T04:15:00,2512,RH,Santos,SP,Desktop,Android,Firefox,4G,10,24,71,Falha de rede: sem resposta ao tentar exportar dados.,Falha de rede: sem resposta ao tentar exportar dados.,images/network.png,500,342,Baixa,Aberto,N1,0,0.091,4,2,-27.450646,-51.633872,,,,,,,,,,0,,,0,0,0,,Rede
16,2025-01-01T04:32:00,6974,TI,Santos,RJ,Mobile,Linux,Chrome,4G,35,24,20,O usuário relatou que o placa de vídeo reinicia sozinho dura...,O usuário relatou que o placa de vídeo reinicia sozinho durante o salvamento.,images/motherboard.png,612,408,Alta,Aberto,Aplicações,0,-0.641,6,2,-25.271987,-49.02404,,,,,,,,,,0,,,0,0,0,,Hardware
17,2025-01-01T04:49:00,2771,RH,São Paulo,PR,Desktop,Linux,Safari,4G,19,8,29,Problema de conectividade: desliga durante exportar dados.,Problema de conectividade: desliga durante exportar dados.,images/default_network.png,500,333,Média,Em andamento,Infra,1,0.729,3,2,-29.972507,-48.056884,,,,,,,,,,0,,,0,0,0,,Rede
18,2025-01-01T05:06:00,5279,Operações,Belo Horizonte,MG,Desktop,Windows,Safari,4G,20,24,66,O notebook apresenta congela e perda de dados.,O notebook apresenta congela e perda de dados.,images/default_hardware.png,612,407,Baixa,Fechado,N2,1,-0.911,6,3,-33.781565,-43.936806,,,,,,,,,,0,,,0,0,0,,Hardware
19,2025-01-01T05:23:00,2146,Financeiro,Belo Horizonte,MG,Mobile,Windows,Edge,4G,26,12,52,"Rede instável, falha ao acessar servidor de arquivos.","Rede instável, falha ao acessar servidor de arquivos.",images/network.png,500,342,Crítica,Aberto,Aplicações,1,0.355,3,1,-27.090887,-50.120596,,,,,,,,,,0,,,0,0,0,,Rede
20,2025-01-01T05:40:00,4443,RH,Belo Horizonte,RS,Mobile,Android,Safari,5G,28,8,66,"Rede instável, falha ao acessar VPN.","Rede instável, falha ao acessar VPN.",images/vpn.png,500,333,Alta,Fechado,N1,1,0.031,7,2,-32.78208,-43.675203,,,,,,,,,,0,,,0,0,0,,Rede
21,2025-01-01T05:57:00,4680,Operações,Campinas,SP,Desktop,Linux,Safari,WiFi,29,24,25,Falha no sistema de ponto ao tentar exportar dados.,Falha no sistema de ponto ao tentar exportar dados.,images/payroll.png,612,408,Alta,Em andamento,N2,0,0.312,3,0,-24.070008,-44.581638,,,,,,,,,,0,,,0,0,0,,RH
22,2025-01-01T06:14:00,3881,RH,São Paulo,RS,Desktop,Windows,Safari,Cabo,29,48,72,O acesso ao sistema de ponto está bloqueado por não funciona...,O acesso ao sistema de ponto está bloqueado por não funciona.,images/access_denied.png,612,408,Média,Fechado,Aplicações,1,0.794,6,3,-28.89424,-45.65741,,,,,,,,,,0,,,0,0,0,,Acesso
23,2025-01-01T06:31:00,4919,Financeiro,Curitiba,SP,Mobile,Android,Firefox,4G,21,12,70,Falha no sistema financeiro: superaquece ao abrir documento.,Falha no sistema financeiro: superaquece ao abrir documento.,images/finance_report.png,738,414,Crítica,Aberto,N2,1,0.388,5,1,-33.099906,-49.064766,,,,,,,,,,0,,,0,0,0,,Financeiro
24,2025-01-01T06:48:00,4388,RH,Curitiba,RS,Mobile,Windows,Safari,5G,0,12,39,O usuário não consegue fazer login devido a falha.,O usuário não consegue fazer login devido a falha.,images/login.png,500,333,Baixa,Fechado,N2,1,-0.561,4,3,-28.506502,-49.250314,,,,,,,,,,0,,,0,0,0,,Acesso
25,2025-01-01T07:05:00,8657,Operações,Belo Horizonte,RS,Desktop,iOS,Chrome,WiFi,27,8,60,O sistema de RH não está reinicia sozinho para gerar relatór...,O sistema de RH não está reinicia sozinho para gerar relatório.,images/finance_report.png,738,414,Média,Em andamento,Aplicações,1,-0.577,5,2,-30.121244,-44.391564,,,,,,,,,,0,,,0,0,0,,RH
26,2025-01-01T07:22:00,2341,RH,São Paulo,BA,Mobile,Windows,Edge,Cabo,4,4,4,Falha de autenticação ao tentar importar dados.,Falha de autenticação ao tentar importar dados.,images/login.png,500,333,Alta,Aberto,N2,0,-0.748,5,0,-27.652732,-50.942151,,,,,,,,,,0,,,0,0,0,,Acesso
27,2025-01-01T07:39:00,2876,Operações,Santos,SP,Mobile,Windows,Edge,5G,25,8,10,Problema de conectividade: superaquece durante enviar email.,Problema de conectividade: superaquece durante enviar email.,images/email.png,500,333,Média,Fechado,Infra,0,0.592,5,0,-30.015479,-48.859058,,,,,,,,,,0,,,0,0,0,,Rede
28,2025-01-01T07:56:00,1207,RH,Curitiba,SP,Notebook,Android,Safari,Cabo,27,8,67,O SSD apresenta não liga e perda de dados.,O SSD apresenta não liga e perda de dados.,images/hard_drive.png,500,334,Alta,Em andamento,Aplicações,1,-0.355,6,1,-24.745032,-52.242037,,,,,,,,,,0,,,0,0,0,,Hardware
29,2025-01-01T08:13:00,7209,Financeiro,São Paulo,PR,Notebook,Linux,Safari,Cabo,22,12,44,Falha no SAP: falha ao tentar fazer login.,Falha no SAP: falha ao tentar fazer login.,images/sap_erp.png,612,344,Crítica,Fechado,N1,0,-0.829,4,3,-28.474501,-45.59417,,,,,,,,,,0,,,0,0,0,,Software
30,2025-01-01T08:30:00,8342,TI,São Paulo,MG,Desktop,iOS,Firefox,4G,37,12,61,Falha no sistema de ponto ao tentar gerar relatório.,Falha no sistema de ponto ao tentar gerar relatório.,images/payroll.png,612,408,Crítica,Fechado,Infra,1,0.406,4,2,-30.457809,-50.817673,,,,,,,,,,0,,,0,0,0,,RH
31,2025-01-01T08:47:00,9779,Operações,Campinas,RJ,Mobile,iOS,Edge,4G,6,8,38,Falha de rede: sem resposta ao tentar fazer login.,Falha de rede: sem resposta ao tentar fazer login.,images/network.png,500,342,Baixa,Aberto,Infra,0,0.416,3,1,-30.810007,-43.45448,,,,,,,,,,0,,,0,0,0,,Rede
32,2025-01-01T09:04:00,9042,TI,São Paulo,RS,Notebook,iOS,Safari,5G,21,8,7,Falha no sistema de folha ao tentar importar dados.,Falha no sistema de folha ao tentar importar dados.,images/payroll.png,612,408,Média,Aberto,N1,1,-0.017,5,0,-32.146176,-45.069693,,,,,,,,,,0,,,0,0,0,,RH
33,2025-01-01T09:21:00,2940,RH,Belo Horizonte,RS,Mobile,Linux,Safari,5G,28,12,55,Problema de hardware: o computador reinicia sozinho inespera...,Problema de hardware: o computador reinicia sozinho inesperadamente.,images/default_hardware.png,612,407,Média,Fechado,N1,0,0.251,5,2,-26.601333,-51.545135,,,,,,,,,,0,,,0,0,0,,Hardware
34,2025-01-01T09:38:00,3564,TI,Curitiba,PR,Mobile,iOS,Edge,WiFi,14,12,37,O Módulo de notas fiscais exibe tela piscando ao gerar relat...,O Módulo de notas fiscais exibe tela piscando ao gerar relatório.,images/finance_report.png,738,414,Baixa,Fechado,N2,1,0.576,6,1,-29.165985,-47.708832,,,,,,,,,,0,,,0,0,0,,Financeiro
35,2025-01-01T09:55:00,2169,TI,Campinas,MG,Mobile,Android,Safari,WiFi,29,12,52,Problema de conectividade: congela durante exportar dados.,Problema de conectividade: congela durante exportar dados.,images/default_network.png,500,333,Média,Em andamento,N1,0,0.779,6,2,-27.219521,-52.843938,,,,,,,,,,0,,,0,0,0,,Rede
36,2025-01-01T10:12:00,5415,TI,Campinas,PR,Mobile,iOS,Edge,Cabo,37,24,63,O portal do funcionário apresenta mensagem de erro durante i...,O portal do funcionário apresenta mensagem de erro durante importar dados.,images/hr_portal.png,323,619,Baixa,Em andamento,Aplicações,1,-0.358,3,0,-24.450709,-49.834944,,,,,,,,,,0,,,0,0,0,,RH
37,2025-01-01T10:29:00,1601,RH,São Paulo,MG,Notebook,Android,Chrome,5G,32,4,70,O acesso à aplicação web falha com falha.,O acesso à aplicação web falha com falha.,images/default_network.png,500,333,Crítica,Aberto,N2,1,0.245,4,3,-26.983045,-45.576094,,,,,,,,,,0,,,0,0,0,,Rede
38,2025-01-01T10:46:00,5719,RH,Curitiba,SP,Desktop,Linux,Firefox,4G,35,4,71,Falha de rede: ruído ao tentar executar consulta.,Falha de rede: ruído ao tentar executar consulta.,images/network.png,500,342,Média,Aberto,N1,1,0.894,3,1,-28.367707,-46.005627,,,,,,,,,,0,,,0,0,0,,Rede
39,2025-01-01T11:03:00,8736,Operações,Curitiba,RS,Desktop,iOS,Firefox,Cabo,4,12,54,O usuário não consegue executar consulta devido a não funcio...,O usuário não consegue executar consulta devido a não funciona.,images/finance_report.png,738,414,Crítica,Aberto,Infra,1,0.675,5,3,-24.36866,-48.679181,,,,,,,,,,0,,,0,0,0,,Acesso
40,2025-01-01T11:20:00,9903,RH,Curitiba,MG,Desktop,Linux,Safari,Cabo,26,4,41,A conexão de rede está fica lento e cheiro de queimado.,A conexão de rede está fica lento e cheiro de queimado.,images/network.png,500,342,Alta,Em andamento,N2,1,0.93,4,1,-28.325026,-47.257214,,,,,,,,,,0,,,0,0,0,,Rede
41,2025-01-01T11:37:00,9617,RH,São Paulo,BA,Desktop,iOS,Firefox,WiFi,30,12,44,O usuário não consegue enviar email devido a emite beep.,O usuário não consegue enviar email devido a emite beep.,images/email.png,500,333,Baixa,Em andamento,Aplicações,1,0.254,6,3,-24.291025,-52.744599,,,,,,,,,,0,,,0,0,0,,Acesso
42,2025-01-01T11:54:00,4727,TI,Curitiba,SP,Mobile,Windows,Safari,Cabo,19,4,6,O sistema Sistema ERP exibe apresenta erro ao abrir document...,O sistema Sistema ERP exibe apresenta erro ao abrir documento.,images/sap_erp.png,612,344,Alta,Em andamento,Infra,1,-0.139,6,1,-28.010287,-47.497312,,,,,,,,,,0,,,0,0,0,,Software
43,2025-01-01T12:11:00,2293,RH,Belo Horizonte,BA,Desktop,iOS,Firefox,Cabo,29,12,59,Erro de runtime no Sistema de Notas Fiscais durante a salvar...,Erro de runtime no Sistema de Notas Fiscais durante a salvar arquivo.,images/default_software.png,612,344,Média,Em andamento,Infra,0,-0.852,6,2,-23.034597,-50.138373,,,,,,,,,,0,,,0,0,0,,Software
44,2025-01-01T12:28:00,8484,Financeiro,Campinas,PR,Notebook,Windows,Firefox,5G,36,12,38,Erro no sistema de RH: não funciona ao fazer login.,Erro no sistema de RH: não funciona ao fazer login.,images/login.png,500,333,Alta,Fechado,Aplicações,1,-0.984,5,0,-23.874275,-45.722796,,,,,,,,,,0,,,0,0,0,,RH
45,2025-01-01T12:45:00,4588,Operações,Belo Horizonte,MG,Mobile,Linux,Chrome,WiFi,19,24,5,O sistema Word exibe desliga ao abrir documento.,O sistema Word exibe desliga ao abrir documento.,images/office.png,500,333,Alta,Aberto,Infra,1,0.495,5,1,-31.611337,-45.313523,,,,,,,,,,0,,,0,0,0,,Software
46,2025-01-01T13:02:00,3695,Financeiro,Curitiba,MG,Mobile,Android,Chrome,5G,4,8,29,O módulo financeiro não funciona ao gerar relatório.,O módulo financeiro não funciona ao gerar relatório.,images/finance_report.png,738,414,Alta,Aberto,Aplicações,0,-0.471,6,0,-28.842832,-46.438999,,,,,,,,,,0,,,0,0,0,,Financeiro
47,2025-01-01T13:19:00,7086,TI,Campinas,PR,Desktop,Android,Firefox,WiFi,40,24,39,Relatório financeiro não reinicia sozinho corretamente.,Relatório financeiro não reinicia sozinho corretamente.,images/finance_report.png,738,414,Crítica,Aberto,N1,0,-0.391,5,3,-32.534287,-50.77548,,,,,,,,,,0,,,0,0,0,,Financeiro
48,2025-01-01T13:36:00,7078,RH,Belo Horizonte,BA,Mobile,Linux,Safari,WiFi,31,48,53,O usuário não consegue imprimir devido a desliga.,O usuário não consegue imprimir devido a desliga.,images/default_access.png,191,165,Crítica,Fechado,Infra,0,-0.113,6,1,-24.475593,-52.116389,,,,,,,,,,0,,,0,0,0,,Acesso
49,2025-01-01T13:53:00,1992,RH,Santos,RJ,Desktop,iOS,Chrome,Cabo,40,48,3,O SAP exibe cheiro de queimado ao gerar relatório.,O SAP exibe cheiro de queimado ao gerar relatório.,images/sap_erp.png,612,344,Alta,Aberto,N2,0,-0.863,6,1,-27.408424,-45.050775,,,,,,,,,,0,,,0,0,0,,Financeiro
50,2025-01-01T14:10:00,1046,Financeiro,Campinas,RJ,Mobile,Android,Firefox,WiFi,1,8,2,Problema de conectividade: reinicia sozinho durante imprimir...,Problema de conectividade: reinicia sozinho durante imprimir.,images/default_network.png,500,333,Média,Fechado,Infra,0,-0.652,3,0,-32.418332,-48.93249,,,,,,,,,,0,,,0,0,0,,Rede
51,2025-01-01T14:27:00,8802,RH,Santos,RS,Mobile,Windows,Safari,Cabo,39,4,67,O usuário não consegue imprimir devido a emite beep.,O usuário não consegue imprimir devido a emite beep.,images/default_hr.png,612,408,Baixa,Fechado,N1,0,0.997,6,3,-29.153618,-52.031178,,,,,,,,,,0,,,0,0,0,,RH
52,2025-01-01T14:44:00,6277,Operações,São Paulo,RJ,Notebook,Android,Safari,4G,29,48,56,Problema de hardware: o monitor superaquece inesperadamente.,Problema de hardware: o monitor superaquece inesperadamente.,images/monitor.png,500,394,Baixa,Fechado,N2,1,-0.097,4,1,-29.289432,-44.90855,,,,,,,,,,0,,,0,0,0,,Hardware
53,2025-01-01T15:01:00,6120,RH,Santos,BA,Notebook,Android,Firefox,5G,4,4,11,Falha de autenticação ao tentar importar dados.,Falha de autenticação ao tentar importar dados.,images/login.png,500,333,Baixa,Aberto,Infra,0,0.113,5,2,-26.496855,-49.032995,,,,,,,,,,0,,,0,0,0,,Acesso
54,2025-01-01T15:18:00,5712,Financeiro,Santos,SP,Mobile,Linux,Firefox,5G,14,4,45,Erro no sistema de RH: não liga ao executar consulta.,Erro no sistema de RH: não liga ao executar consulta.,images/finance_report.png,738,414,Baixa,Em andamento,N2,1,0.69,5,0,-27.161955,-46.587471,,,,,,,,,,0,,,0,0,0,,RH
55,2025-01-01T15:35:00,5477,Financeiro,Santos,MG,Desktop,Linux,Firefox,5G,4,8,4,Problema de hardware: o fonte emite beep inesperadamente.,Problema de hardware: o fonte emite beep inesperadamente.,images/power_supply.png,500,375,Média,Em andamento,Aplicações,1,-0.318,5,2,-30.403153,-49.888609,,,,,,,,,,0,,,0,0,0,,Hardware
56,2025-01-01T15:52:00,3579,TI,São Paulo,MG,Notebook,iOS,Safari,5G,26,12,28,O placa de vídeo apresenta superaquece e tela piscando.,O placa de vídeo apresenta superaquece e tela piscando.,images/motherboard.png,612,408,Média,Em andamento,N1,1,0.356,6,3,-28.056418,-50.046648,,,,,,,,,,0,,,0,0,0,,Hardware
57,2025-01-01T16:09:00,1125,Operações,Santos,RJ,Desktop,Android,Edge,4G,7,4,64,Falha de autenticação ao tentar executar consulta.,Falha de autenticação ao tentar executar consulta.,images/login.png,500,333,Baixa,Aberto,Aplicações,0,0.001,3,2,-33.014377,-44.568533,,,,,,,,,,0,,,0,0,0,,Acesso
58,2025-01-01T16:26:00,8532,TI,Santos,RS,Notebook,iOS,Safari,4G,7,24,3,O acesso ao sistema de recrutamento está bloqueado por não l...,O acesso ao sistema de recrutamento está bloqueado por não liga.,images/access_denied.png,612,408,Baixa,Fechado,Aplicações,1,-0.824,7,0,-31.14785,-47.270174,,,,,,,,,,0,,,0,0,0,,Acesso
59,2025-01-01T16:43:00,6562,Operações,Santos,RJ,Desktop,Windows,Firefox,4G,22,8,31,O acesso ao sistema de ponto está bloqueado por falha.,O acesso ao sistema de ponto está bloqueado por falha.,images/access_denied.png,612,408,Alta,Em andamento,N2,0,0.205,6,0,-31.869107,-45.448804,,,,,,,,,,0,,,0,0,0,,Acesso
60,2025-01-01T17:00:00,6295,Financeiro,Campinas,PR,Desktop,iOS,Safari,4G,17,48,8,Falha de autenticação ao tentar abrir documento.,Falha de autenticação ao tentar abrir documento.,images/login.png,500,333,Crítica,Em andamento,Aplicações,1,-0.925,4,2,-24.734507,-52.340363,,,,,,,,,,0,,,0,0,0,,Acesso
61,2025-01-01T17:17:00,8581,TI,Curitiba,RS,Mobile,Linux,Edge,5G,32,8,8,O módulo financeiro congela ao gerar relatório.,O módulo financeiro congela ao gerar relatório.,images/finance_report.png,738,414,Crítica,Em andamento,N1,0,-0.922,6,3,-22.998252,-47.911721,,,,,,,,,,0,,,0,0,0,,Financeiro
62,2025-01-01T17:34:00,5634,RH,Curitiba,MG,Mobile,Windows,Edge,WiFi,21,4,72,O acesso à internet falha com não funciona.,O acesso à internet falha com não funciona.,images/default_network.png,500,333,Alta,Em andamento,N2,1,-0.837,6,1,-23.807464,-50.028706,,,,,,,,,,0,,,0,0,0,,Rede
63,2025-01-01T17:51:00,6072,RH,Santos,RJ,Mobile,Windows,Safari,4G,1,12,40,Falha no Word: não liga ao tentar importar dados.,Falha no Word: não liga ao tentar importar dados.,images/office.png,500,333,Baixa,Em andamento,Aplicações,0,-0.547,5,1,-32.111098,-50.171658,,,,,,,,,,0,,,0,0,0,,Software
64,2025-01-01T18:08:00,6517,Operações,Belo Horizonte,PR,Desktop,Linux,Firefox,Cabo,28,4,53,Erro no Módulo de notas fiscais durante gerar relatório.,Erro no Módulo de notas fiscais durante gerar relatório.,images/finance_report.png,738,414,Baixa,Em andamento,Infra,1,-0.532,6,1,-30.4268,-45.094624,,,,,,,,,,0,,,0,0,0,,Financeiro
65,2025-01-01T18:25:00,8218,RH,Santos,PR,Mobile,iOS,Firefox,Cabo,38,8,33,O sistema SAP exibe superaquece ao executar consulta.,O sistema SAP exibe superaquece ao executar consulta.,images/sap_erp.png,612,344,Alta,Em andamento,N1,0,-0.43,4,1,-30.826575,-44.137469,,,,,,,,,,0,,,0,0,0,,Software
66,2025-01-01T18:42:00,4637,RH,Santos,SP,Notebook,Windows,Safari,4G,15,24,11,O acesso ao sistema de recrutamento está bloqueado por conge...,O acesso ao sistema de recrutamento está bloqueado por congela.,images/access_denied.png,612,408,Baixa,Aberto,Infra,0,0.678,6,2,-25.173951,-51.737764,,,,,,,,,,0,,,0,0,0,,Acesso
67,2025-01-01T18:59:00,8685,RH,Belo Horizonte,SP,Desktop,Windows,Edge,Cabo,9,48,68,O usuário não consegue imprimir devido a reinicia sozinho.,O usuário não consegue imprimir devido a reinicia sozinho.,images/default_access.png,191,165,Média,Em andamento,N2,1,-0.756,5,1,-29.223902,-45.240399,,,,,,,,,,0,,,0,0,0,,Acesso
68,2025-01-01T19:16:00,9189,TI,Belo Horizonte,RS,Desktop,Linux,Edge,5G,0,48,46,O computador não responde e exibe cheiro de queimado.,O computador não responde e exibe cheiro de queimado.,images/default_hardware.png,612,407,Baixa,Aberto,N1,1,-0.865,4,0,-29.544054,-48.445663,,,,,,,,,,0,,,0,0,0,,Hardware
69,2025-01-01T19:33:00,1266,Financeiro,São Paulo,MG,Desktop,Windows,Edge,Cabo,2,12,70,O acesso à internet falha com emite beep.,O acesso à internet falha com emite beep.,images/default_network.png,500,333,Alta,Fechado,Aplicações,1,0.263,5,1,-33.112204,-45.415715,,,,,,,,,,0,,,0,0,0,,Rede
70,2025-01-01T19:50:00,4302,TI,Campinas,SP,Notebook,Android,Safari,5G,16,4,25,Problema de hardware: o HD reinicia sozinho inesperadamente.,Problema de hardware: o HD reinicia sozinho inesperadamente.,images/hard_drive.png,500,334,Alta,Aberto,Infra,1,-0.751,4,2,-29.03723,-49.139784,,,,,,,,,,0,,,0,0,0,,Hardware
71,2025-01-01T20:07:00,4060,RH,Curitiba,MG,Mobile,Android,Chrome,5G,5,24,24,O acesso ao sistema de folha está bloqueado por reinicia soz...,O acesso ao sistema de folha está bloqueado por reinicia sozinho.,images/access_denied.png,612,408,Alta,Aberto,N1,1,0.322,4,2,-28.939518,-45.995137,,,,,,,,,,0,,,0,0,0,,Acesso
72,2025-01-01T20:24:00,6759,RH,São Paulo,BA,Notebook,iOS,Edge,WiFi,4,24,47,Erro no sistema de RH: falha ao fazer login.,Erro no sistema de RH: falha ao fazer login.,images/login.png,500,333,Crítica,Aberto,Aplicações,0,-0.748,6,1,-25.314182,-49.473348,,,,,,,,,,0,,,0,0,0,,RH
73,2025-01-01T20:41:00,3513,RH,Santos,MG,Notebook,Windows,Firefox,4G,25,12,36,O módulo financeiro falha ao exportar dados.,O módulo financeiro falha ao exportar dados.,images/finance_report.png,738,414,Baixa,Aberto,N2,1,0.035,5,0,-30.946634,-50.523131,,,,,,,,,,0,,,0,0,0,,Financeiro
74,2025-01-01T20:58:00,9047,Operações,São Paulo,RJ,Desktop,iOS,Firefox,5G,5,12,45,Falha no Sistema ERP: desliga ao tentar enviar email.,Falha no Sistema ERP: desliga ao tentar enviar email.,images/sap_erp.png,612,344,Alta,Em andamento,N2,0,0.587,4,1,-32.477149,-51.110294,,,,,,,,,,0,,,0,0,0,,Software
75,2025-01-01T21:15:00,1430,Financeiro,Belo Horizonte,RS,Notebook,iOS,Firefox,WiFi,4,12,51,O aplicativo Sistema de Notas Fiscais fecha inesperadamente ...,O aplicativo Sistema de Notas Fiscais fecha inesperadamente quando executar consulta.,images/finance_report.png,738,414,Crítica,Em andamento,N1,0,0.945,6,0,-28.895278,-46.366921,,,,,,,,,,0,,,0,0,0,,Software
76,2025-01-01T21:32:00,3114,RH,Belo Horizonte,SP,Desktop,Linux,Edge,Cabo,10,12,29,Erro de compilação no Word durante a enviar email.,Erro de compilação no Word durante a enviar email.,images/office.png,500,333,Média,Aberto,Infra,0,0.27,6,2,-32.435644,-50.102036,,,,,,,,,,0,,,0,0,0,,Software
77,2025-01-01T21:49:00,3526,Operações,Belo Horizonte,BA,Mobile,Android,Chrome,WiFi,5,4,34,O ERP exibe cheiro de queimado ao gerar relatório.,O ERP exibe cheiro de queimado ao gerar relatório.,images/sap_erp.png,612,344,Média,Fechado,N1,1,0.778,6,2,-26.803211,-50.109268,,,,,,,,,,0,,,0,0,0,,Financeiro
78,2025-01-01T22:06:00,5873,RH,São Paulo,BA,Desktop,Linux,Safari,5G,30,24,27,O sistema de folha apresenta sem resposta durante gerar rela...,O sistema de folha apresenta sem resposta durante gerar relatório.,images/payroll.png,612,408,Crítica,Em andamento,Infra,1,0.951,3,1,-25.508752,-48.001697,,,,,,,,,,0,,,0,0,0,,RH
